arm,level,max_identity_below,n_eligible_queries,R@1,R@1_ci95,R@10,R@10_ci95,MAP,MAP_ci95
protsent_late@250,family,1.01,1693,0.6952,"[0.6728, 0.7171]",0.9161,"[0.9025, 0.9291]",0.6504,"[0.6344, 0.6659]"
protsent_late@500,family,0.4,164,0.6402,"[0.5671, 0.7134]",0.8963,"[0.8476, 0.9390]",0.6389,"[0.5865, 0.6896]"
protsent_late@500,family,0.5,287,0.6551,"[0.5993, 0.7108]",0.9164,"[0.8815, 0.9477]",0.6518,"[0.6134, 0.6889]"
protsent_late@500,family,0.7,479,0.6743,"[0.6326, 0.7161]",0.9165,"[0.8914, 0.9415]",0.6569,"[0.6275, 0.6860]"
protsent_late@500,family,1.01,1693,0.7082,"[0.6864, 0.7295]",0.9238,"[0.9108, 0.9362]",0.6656,"[0.6502, 0.6807]"
protsent_late@750,family,0.4,164,0.6646,"[0.5915, 0.7378]",0.9146,"[0.8659, 0.9573]",0.6443,"[0.5925, 0.6948]"
protsent_late@750,family,0.5,287,0.669,"[0.6132, 0.7213]",0.9268,"[0.8955, 0.9547]",0.6584,"[0.6201, 0.6958]"
protsent_late@750,family,0.7,479,0.691,"[0.6493, 0.7328]",0.9269,"[0.9019, 0.9499]",0.6648,"[0.6351, 0.6943]"
protsent_late@750,family,1.01,1693,0.7165,"[0.6946, 0.7383]",0.9309,"[0.9185, 0.9427]",0.6745,"[0.6593, 0.6897]"
protsent_late@final,family,0.4,164,0.6646,"[0.5915, 0.7378]",0.9146,"[0.8659, 0.9573]",0.6554,"[0.6036, 0.7054]"
protsent_late@final,family,0.5,287,0.6655,"[0.6098, 0.7178]",0.9303,"[0.8990, 0.9582]",0.6639,"[0.6261, 0.7012]"
protsent_late@final,family,0.7,479,0.6889,"[0.6472, 0.7307]",0.9269,"[0.9019, 0.9499]",0.6694,"[0.6402, 0.6988]"
protsent_late@final,family,1.01,1693,0.7188,"[0.6970, 0.7407]",0.9356,"[0.9238, 0.9468]",0.6805,"[0.6652, 0.6956]"
protsent_v2_dense,family,0.4,164,0.6463,"[0.5732, 0.7195]",0.8902,"[0.8415, 0.9390]",0.6193,"[0.5663, 0.6710]"
protsent_v2_dense,family,0.5,287,0.662,"[0.6063, 0.7143]",0.9094,"[0.8746, 0.9408]",0.636,"[0.5973, 0.6739]"
protsent_v2_dense,family,0.7,479,0.6701,"[0.6263, 0.7119]",0.9144,"[0.8894, 0.9395]",0.6424,"[0.6123, 0.6716]"
protsent_v2_dense,family,1.01,1693,0.6852,"[0.6627, 0.7070]",0.9238,"[0.9108, 0.9362]",0.6461,"[0.6304, 0.6612]"
protsent_v2_zeroshot,family,0.4,164,0.6951,"[0.6220, 0.7683]",0.9268,"[0.8841, 0.9634]",0.6634,"[0.6111, 0.7142]"
protsent_v2_zeroshot,family,0.5,287,0.7003,"[0.6481, 0.7526]",0.9373,"[0.9094, 0.9652]",0.6758,"[0.6378, 0.7125]"
protsent_v2_zeroshot,family,0.7,479,0.7119,"[0.6701, 0.7516]",0.9353,"[0.9123, 0.9562]",0.6832,"[0.6539, 0.7122]"
protsent_v2_zeroshot,family,1.01,1693,0.7259,"[0.7041, 0.7472]",0.9321,"[0.9197, 0.9439]",0.6841,"[0.6686, 0.6991]"
esm2_dense,superfamily,0.4,215,0.7209,"[0.6605, 0.7814]",0.8651,"[0.8186, 0.9116]",0.3761,"[0.3363, 0.4167]"
esm2_dense,superfamily,0.5,369,0.71,"[0.6640, 0.7561]",0.8509,"[0.8157, 0.8862]",0.3788,"[0.3501, 0.4095]"
esm2_dense,superfamily,0.7,601,0.6972,"[0.6606, 0.7338]",0.8419,"[0.8120, 0.8702]",0.3767,"[0.3529, 0.4009]"
esm2_dense,superfamily,1.01,2020,0.6975,"[0.6772, 0.7173]",0.8446,"[0.8287, 0.8604]",0.3981,"[0.3842, 0.4119]"
esm2_late,superfamily,0.4,215,0.8744,"[0.8279, 0.9163]",0.9488,"[0.9163, 0.9767]",0.6825,"[0.6407, 0.7226]"
esm2_late,superfamily,0.5,369,0.8808,"[0.8482, 0.9133]",0.9512,"[0.9295, 0.9702]",0.6719,"[0.6404, 0.7032]"
esm2_late,superfamily,0.7,601,0.8835,"[0.8569, 0.9085]",0.9484,"[0.9301, 0.9651]",0.6571,"[0.6324, 0.6811]"
esm2_late,superfamily,1.01,2020,0.8955,"[0.8822, 0.9084]",0.9594,"[0.9505, 0.9678]",0.6705,"[0.6572, 0.6833]"
esm2_late@0,superfamily,0.4,215,0.6651,"[0.6000, 0.7302]",0.8558,"[0.8093, 0.9023]",0.4091,"[0.3662, 0.4522]"
esm2_late@0,superfamily,0.5,369,0.6965,"[0.6477, 0.7425]",0.8482,"[0.8103, 0.8835]",0.4205,"[0.3887, 0.4534]"
esm2_late@0,superfamily,0.7,601,0.6922,"[0.6556, 0.7288]",0.8453,"[0.8153, 0.8735]",0.4269,"[0.4007, 0.4531]"
esm2_late@0,superfamily,1.01,2020,0.6797,"[0.6594, 0.7000]",0.8213,"[0.8040, 0.8376]",0.4415,"[0.4260, 0.4566]"
esm2_late@1000,superfamily,0.4,215,0.8651,"[0.8186, 0.9070]",0.9488,"[0.9163, 0.9767]",0.6723,"[0.6308, 0.7126]"
esm2_late@1000,superfamily,0.5,369,0.8753,"[0.8401, 0.9079]",0.9485,"[0.9241, 0.9702]",0.6608,"[0.6292, 0.6921]"
esm2_late@1000,superfamily,0.7,601,0.8785,"[0.8519, 0.9035]",0.9468,"[0.9285, 0.9634]",0.646,"[0.6212, 0.6701]"
esm2_late@1000,superfamily,1.01,2020,0.8886,"[0.8752, 0.9020]",0.9574,"[0.9485, 0.9663]",0.662,"[0.6488, 0.6750]"
esm2_late@1250,superfamily,0.4,215,0.8791,"[0.8326, 0.9209]",0.9488,"[0.9163, 0.9767]",0.6766,"[0.6352, 0.7169]"
esm2_late@1250,superfamily,0.5,369,0.8835,"[0.8509, 0.9160]",0.9485,"[0.9241, 0.9702]",0.6659,"[0.6343, 0.6972]"
esm2_late@1250,superfamily,0.7,601,0.8852,"[0.8602, 0.9101]",0.9468,"[0.9285, 0.9634]",0.6511,"[0.6266, 0.6750]"
esm2_late@1250,superfamily,1.01,2020,0.8941,"[0.8807, 0.9069]",0.9564,"[0.9475, 0.9653]",0.6652,"[0.6519, 0.6780]"
esm2_late@1500,superfamily,0.4,215,0.8744,"[0.8279, 0.9163]",0.9488,"[0.9163, 0.9767]",0.6815,"[0.6401, 0.7217]"
esm2_late@1500,superfamily,0.5,369,0.8808,"[0.8482, 0.9133]",0.9512,"[0.9295, 0.9702]",0.6713,"[0.6400, 0.7026]"
esm2_late@1500,superfamily,0.7,601,0.8852,"[0.8586, 0.9101]",0.9468,"[0.9285, 0.9651]",0.6575,"[0.6328, 0.6815]"
esm2_late@1500,superfamily,1.01,2020,0.898,"[0.8851, 0.9109]",0.9574,"[0.9485, 0.9663]",0.6717,"[0.6584, 0.6844]"
esm2_late@1750,superfamily,0.4,215,0.8744,"[0.8279, 0.9163]",0.9488,"[0.9163, 0.9767]",0.6823,"[0.6405, 0.7224]"
esm2_late@1750,superfamily,0.5,369,0.8808,"[0.8482, 0.9133]",0.9512,"[0.9295, 0.9702]",0.6715,"[0.6400, 0.7029]"
esm2_late@1750,superfamily,0.7,601,0.8835,"[0.8569, 0.9085]",0.9484,"[0.9301, 0.9651]",0.6568,"[0.6321, 0.6809]"
esm2_late@1750,superfamily,1.01,2020,0.8955,"[0.8822, 0.9084]",0.9594,"[0.9505, 0.9678]",0.67,"[0.6568, 0.6828]"
esm2_late@2000,superfamily,0.4,215,0.8744,"[0.8279, 0.9163]",0.9488,"[0.9163, 0.9767]",0.6825,"[0.6407, 0.7226]"
esm2_late@2000,superfamily,0.5,369,0.8808,"[0.8482, 0.9133]",0.9512,"[0.9295, 0.9702]",0.6719,"[0.6404, 0.7032]"
esm2_late@2000,superfamily,0.7,601,0.8835,"[0.8569, 0.9085]",0.9484,"[0.9301, 0.9651]",0.6571,"[0.6324, 0.6811]"
esm2_late@2000,superfamily,1.01,2020,0.8955,"[0.8822, 0.9084]",0.9594,"[0.9505, 0.9678]",0.6705,"[0.6572, 0.6833]"
esm2_late@250,superfamily,0.4,215,0.786,"[0.7302, 0.8419]",0.9116,"[0.8698, 0.9488]",0.5591,"[0.5165, 0.6021]"
esm2_late@250,superfamily,0.5,369,0.8157,"[0.7751, 0.8537]",0.9295,"[0.9024, 0.9539]",0.5593,"[0.5278, 0.5910]"
esm2_late@250,superfamily,0.7,601,0.822,"[0.7920, 0.8519]",0.9268,"[0.9052, 0.9468]",0.5586,"[0.5334, 0.5836]"
esm2_late@250,superfamily,1.01,2020,0.8416,"[0.8257, 0.8569]",0.9248,"[0.9129, 0.9361]",0.5865,"[0.5726, 0.6002]"
esm2_late@500,superfamily,0.4,215,0.8372,"[0.7860, 0.8837]",0.9442,"[0.9116, 0.9721]",0.6356,"[0.5925, 0.6778]"
esm2_late@500,superfamily,0.5,369,0.8509,"[0.8157, 0.8862]",0.9431,"[0.9187, 0.9648]",0.6287,"[0.5965, 0.6605]"
esm2_late@500,superfamily,0.7,601,0.8619,"[0.8336, 0.8902]",0.9434,"[0.9251, 0.9617]",0.6236,"[0.5986, 0.6483]"
esm2_late@500,superfamily,1.01,2020,0.8738,"[0.8594, 0.8881]",0.9495,"[0.9396, 0.9589]",0.6406,"[0.6271, 0.6539]"
esm2_late@750,superfamily,0.4,215,0.8558,"[0.8093, 0.9023]",0.9535,"[0.9256, 0.9814]",0.6621,"[0.6201, 0.7033]"
esm2_late@750,superfamily,0.5,369,0.8672,"[0.8320, 0.8997]",0.9512,"[0.9295, 0.9729]",0.653,"[0.6212, 0.6846]"
esm2_late@750,superfamily,0.7,601,0.8735,"[0.8453, 0.9002]",0.9534,"[0.9368, 0.9700]",0.6429,"[0.6180, 0.6672]"
esm2_late@750,superfamily,1.01,2020,0.8817,"[0.8678, 0.8955]",0.9535,"[0.9441, 0.9624]",0.6573,"[0.6439, 0.6704]"
esm2_late@final,superfamily,0.4,215,0.8744,"[0.8279, 0.9163]",0.9488,"[0.9163, 0.9767]",0.6825,"[0.6407, 0.7226]"
esm2_late@final,superfamily,0.5,369,0.8808,"[0.8482, 0.9133]",0.9512,"[0.9295, 0.9702]",0.6719,"[0.6404, 0.7032]"
esm2_late@final,superfamily,0.7,601,0.8835,"[0.8569, 0.9085]",0.9484,"[0.9301, 0.9651]",0.6571,"[0.6324, 0.6811]"
esm2_late@final,superfamily,1.01,2020,0.8955,"[0.8822, 0.9084]",0.9594,"[0.9505, 0.9678]",0.6705,"[0.6572, 0.6833]"
esm2_zeroshot,superfamily,0.4,215,0.707,"[0.6465, 0.7674]",0.8884,"[0.8419, 0.9302]",0.4399,"[0.3972, 0.4828]"
esm2_zeroshot,superfamily,0.5,369,0.7317,"[0.6856, 0.7778]",0.8672,"[0.8320, 0.8997]",0.4543,"[0.4218, 0.4874]"
esm2_zeroshot,superfamily,0.7,601,0.7238,"[0.6888, 0.7604]",0.8686,"[0.8403, 0.8952]",0.4627,"[0.4355, 0.4901]"
esm2_zeroshot,superfamily,1.01,2020,0.7193,"[0.6995, 0.7386]",0.8564,"[0.8406, 0.8713]",0.4735,"[0.4577, 0.4888]"
protsent_late,superfamily,0.4,215,0.8744,"[0.8279, 0.9163]",0.9628,"[0.9349, 0.9860]",0.7049,"[0.6646, 0.7444]"
protsent_late,superfamily,0.5,369,0.878,"[0.8455, 0.9106]",0.9539,"[0.9322, 0.9729]",0.6959,"[0.6654, 0.7255]"
protsent_late,superfamily,0.7,601,0.8819,"[0.8552, 0.9085]",0.9567,"[0.9401, 0.9717]",0.6843,"[0.6602, 0.7081]"
protsent_late,superfamily,1.01,2020,0.8797,"[0.8653, 0.8936]",0.9589,"[0.9500, 0.9673]",0.6721,"[0.6590, 0.6852]"
protsent_late@0,superfamily,0.4,215,0.8326,"[0.7814, 0.8791]",0.9535,"[0.9209, 0.9814]",0.6303,"[0.5887, 0.6711]"
protsent_late@0,superfamily,0.5,369,0.8428,"[0.8049, 0.8780]",0.9431,"[0.9187, 0.9648]",0.6303,"[0.5990, 0.6614]"
protsent_late@0,superfamily,0.7,601,0.8486,"[0.8186, 0.8769]",0.9501,"[0.9318, 0.9667]",0.6277,"[0.6029, 0.6523]"
protsent_late@0,superfamily,1.01,2020,0.8485,"[0.8332, 0.8639]",0.948,"[0.9381, 0.9574]",0.6056,"[0.5922, 0.6187]"
protsent_late@1000,superfamily,0.4,215,0.8698,"[0.8233, 0.9116]",0.9581,"[0.9302, 0.9814]",0.6967,"[0.6562, 0.7363]"
protsent_late@1000,superfamily,0.5,369,0.8672,"[0.8320, 0.9024]",0.9512,"[0.9295, 0.9729]",0.6898,"[0.6595, 0.7194]"
protsent_late@1000,superfamily,0.7,601,0.8735,"[0.8469, 0.9002]",0.9551,"[0.9368, 0.9717]",0.6794,"[0.6554, 0.7034]"
protsent_late@1000,superfamily,1.01,2020,0.8762,"[0.8619, 0.8906]",0.9579,"[0.9490, 0.9663]",0.6658,"[0.6528, 0.6789]"
protsent_late@1250,superfamily,0.4,215,0.8651,"[0.8186, 0.9070]",0.9581,"[0.9302, 0.9814]",0.6993,"[0.6587, 0.7389]"
protsent_late@1250,superfamily,0.5,369,0.8699,"[0.8347, 0.9024]",0.9512,"[0.9295, 0.9729]",0.6918,"[0.6613, 0.7214]"
protsent_late@1250,superfamily,0.7,601,0.8735,"[0.8453, 0.9002]",0.9551,"[0.9368, 0.9717]",0.6807,"[0.6567, 0.7047]"
