MAP,Recall@1,Recall@10,Recall@30,eligible_MAP,eligible_Recall@1,eligible_Recall@10,eligible_Recall@30,level,model,n_eligible_queries,n_queries,runtime_s,scoring
0.5674426741207916,0.8554599003171727,0.919800634345265,0.9410965111010421,0.5918459271193702,0.8922495274102079,0.9593572778827977,0.9815689981096408,fold,protsent_late@750,2116,2207,11.24,maxsim
0.6051060154678357,0.7992750339827821,0.8735840507476212,0.894426823742637,0.6611232555136205,0.8732673267326733,0.9544554455445544,0.9772277227722772,superfamily,protsent_late@750,2020,2207,11.24,maxsim
0.5174291758600174,0.549614861803353,0.7140915269596738,0.7412777526053467,0.6745222629197036,0.7164796219728293,0.9308919078558772,0.9663319551092735,family,protsent_late@750,1693,2207,11.24,maxsim
0.5713115271700291,0.860444041685546,0.9216130493883099,0.9401903035795197,0.5958811627902902,0.8974480151228733,0.9612476370510397,0.9806238185255198,fold,protsent_late@1000,2116,2207,11.07,maxsim
0.6094303472308598,0.8019936565473493,0.8767557770729497,0.8939737199818758,0.665847909078469,0.8762376237623762,0.9579207920792079,0.9767326732673267,superfamily,protsent_late@1000,2020,2207,11.07,maxsim
0.5195837294623926,0.5509741730856366,0.7172632532850023,0.742183960126869,0.6773309456134085,0.7182516243354992,0.93502658003544,0.96751329001772,family,protsent_late@1000,1693,2207,11.07,maxsim
0.5744614778493944,0.8586316266425011,0.9225192569098324,0.9401903035795197,0.5991665792124827,0.8955576559546313,0.9621928166351607,0.9806238185255198,fold,protsent_late@1250,2116,2207,11.06,maxsim
0.6117898279288513,0.8024467603081106,0.877208880833711,0.8939737199818758,0.6684258169499876,0.8767326732673267,0.9584158415841584,0.9767326732673267,superfamily,protsent_late@1250,2020,2207,11.06,maxsim
0.5202598098424148,0.5482555505210693,0.7181694608065247,0.7435432714091527,0.6782122860733665,0.7147076196101595,0.9362079149438866,0.9692852923803899,family,protsent_late@1250,1693,2207,11.06,maxsim
0.5774705465238489,0.8608971454463072,0.9220661531490711,0.9415496148618033,0.6023050549046004,0.8979206049149339,0.9617202268431002,0.9820415879017014,fold,protsent_late@1500,2116,2207,11.22,maxsim
0.6149909459191519,0.8038060715903942,0.877208880833711,0.8948799275033983,0.6719232760611723,0.8782178217821782,0.9584158415841584,0.9777227722772277,superfamily,protsent_late@1500,2020,2207,11.22,maxsim
0.5211652696179612,0.5482555505210693,0.7181694608065247,0.7453556864521975,0.6793926462178618,0.7147076196101595,0.9362079149438866,0.9716479621972829,family,protsent_late@1500,1693,2207,11.22,maxsim
0.5770922713727236,0.8608971454463072,0.9216130493883099,0.9415496148618033,0.601910511776749,0.8979206049149339,0.9612476370510397,0.9820415879017014,fold,protsent_late@1750,2116,2207,11.06,maxsim
0.6151198137439127,0.8047122791119167,0.8776619845944721,0.8948799275033983,0.6720640737291166,0.8792079207920792,0.9589108910891089,0.9777227722772277,superfamily,protsent_late@1750,2020,2207,11.06,maxsim
0.5219275320958904,0.5500679655641142,0.7177163570457635,0.7453556864521975,0.6803863339253574,0.7170702894270525,0.9356172474896634,0.9716479621972829,family,protsent_late@1750,1693,2207,11.06,maxsim
0.5771222232914641,0.8608971454463072,0.9216130493883099,0.9415496148618033,0.6019417517978553,0.8979206049149339,0.9612476370510397,0.9820415879017014,fold,protsent_late@2000,2116,2207,11.08,maxsim
0.6151857787947457,0.8051653828726778,0.8776619845944721,0.8948799275033983,0.6721361454455463,0.8797029702970297,0.9589108910891089,0.9777227722772277,superfamily,protsent_late@2000,2020,2207,11.08,maxsim
0.5219766723348929,0.5514272768463978,0.7177163570457635,0.7453556864521975,0.6804503932918535,0.7188422917897224,0.9356172474896634,0.9716479621972829,family,protsent_late@2000,1693,2207,11.08,maxsim
